,2017-2022 NAICS to SIC Crosswalk,,
5044,423420,Office Equipment,Office Equipment Merchant Wholesalers
5045,423430,"Computers, Peripherals, and Software","Computer and Computer PeripheralEquipment and Software MerchantWholesalers"
5046,423440,"Commercial Equipment, Nec","Other Commercial Equipment MerchantWholesalers"
5047,423450,Medical and Hospital Equipment,"Medical, Dental, and Hospital Equipmentand Supplies Merchant Wholesalers"
5048,423460,Ophthalmic Goods,Ophthalmic Goods Merchant Wholesalers
5049,423490,"Professional Equipment, Nec","Other Professional Equipment and SuppliesMerchant Wholesalers"
5051,423510,Metals Service Centers and Offices,"Metal Service Centers and Other MetalMerchant Wholesalers"
5052,423520,Coal and Other Minerals and Ores,"Coal and Other Mineral and Ore MerchantWholesalers"
5063,423610,Electrical Apparatus and Equipment,"Electrical Apparatus and Equipment, WiringSupplies, and Related Equipment MerchantWholesalers"
5064,423620,"Electrical Appliances, Television and Radio","Household Appliances, ElectricHousewares, and Consumer ElectronicsMerchant Wholesalers"
5074,423620,Plumbing and Hydronic Heating Supplies,"Household Appliances, ElectricHousewares, and Consumer ElectronicsMerchant Wholesalers"
5065,423690,"Electronic Parts and Equipment, Nec","Other Electronic Parts and EquipmentMerchant Wholesalers"
5064,423720,"Electrical Appliances, Television and Radio","Plumbing and Heating Equipment andSupplies (Hydronics) MerchantWholesalers"
5074,423720,Plumbing and Hydronic Heating Supplies,"Plumbing and Heating Equipment andSupplies (Hydronics) MerchantWholesalers"
5075,423730,Warm Air Heating and Air Conditioning,"Warm Air Heating and Air-ConditioningEquipment and Supplies MerchantWholesalers"
5078,423740,Refrigeration Equipment and Supplies,"Refrigeration Equipment and SuppliesMerchant Wholesalers"
5082,423810,Construction and Mining Machinery,"Construction and Mining (except Oil Well)Machinery and Equipment MerchantWholesalers"
5083,423820,Farm and Garden Machinery,"Farm and Garden Machinery andEquipment Merchant Wholesalers"
5084,423830,Industrial Machinery and Equipment,"Industrial Machinery and EquipmentMerchant Wholesalers"
5085,423830,Industrial Supplies,"Industrial Machinery and EquipmentMerchant Wholesalers"
5085,423840,Industrial Supplies,Industrial Supplies Merchant Wholesalers
5087,423850,Service Establishment Equipment,"Service Establishment Equipment andSupplies Merchant Wholesalers"
5088,423860,Transportation Equipment and Supplies,"Transportation Equipment and Supplies(except Motor Vehicle) MerchantWholesalers"
5091,423910,Sporting and Recreation Goods,"Sporting and Recreational Goods andSupplies Merchant Wholesalers"
5136,423910,Men's and Boy's Clothing,"Sporting and Recreational Goods andSupplies Merchant Wholesalers"
5137,423910,Women's and Children's Clothing,"Sporting and Recreational Goods andSupplies Merchant Wholesalers"
5092,423920,Toys and Hobby Goods and Supplies,"Toy and Hobby Goods and SuppliesMerchant Wholesalers"
5093,423930,Scrap and Waste Materials,Recyclable Material Merchant Wholesalers
5094,423940,Jewelry and Precious Stones,"Jewelry, Watch, Precious Stone, andPrecious Metal Merchant Wholesalers"
5099,423990,"Durable Goods, Nec","Other Miscellaneous Durable GoodsMerchant Wholesalers"
7822,423990,Motion Picture and Tape Distribution,"Other Miscellaneous Durable GoodsMerchant Wholesalers"
5111,424110,Printing and Writing Paper,"Printing and Writing Paper MerchantWholesalers"
5112,424120,Stationery and Office Supplies,"Stationery and Office Supplies MerchantWholesalers"
5113,424130,Industrial and Personal Service Paper,"Industrial and Personal Service PaperMerchant Wholesalers"
5122,424210,"Drugs, Proprietaries, and Sundries","Drugs and Druggists' Sundries MerchantWholesalers"
5199,424310,"Nondurable Goods, Nec","Piece Goods, Notions, and Other DryGoods Merchant Wholesalers"
5136,424320,Men's and Boy's Clothing,"Men's and Boys' Clothing and FurnishingsMerchant Wholesalers"
5137,424330,Women's and Children's Clothing,"Women's, Children's, and Infants' Clothingand Accessories Merchant Wholesalers"
5139,424340,Footwear,Footwear Merchant Wholesalers
5199,424340,"Nondurable Goods, Nec",Footwear Merchant Wholesalers
5141,424410,"Groceries, General Line","General Line Grocery MerchantWholesalers"
5142,424420,Packaged Frozen Goods,"Packaged Frozen Food MerchantWholesalers"
5143,424430,"Dairy Products, Except Dried or Canned","Dairy Product (except Dried or Canned)Merchant Wholesalers"
5144,424440,Poultry and Poultry Products,"Poultry and Poultry Product MerchantWholesalers"
5145,424450,Confectionery,Confectionery Merchant Wholesalers
5146,424460,Fish and Seafoods,Fish and Seafood Merchant Wholesalers
5147,424470,Meats and Meat Products,"Meat and Meat Product MerchantWholesalers"
5148,424480,Fresh Fruits and Vegetables,"Fresh Fruit and Vegetable MerchantWholesalers"
5149,424490,"Groceries and Related Products, Nec","Other Grocery and Related ProductsMerchant Wholesalers"
5153,424510,Grain and Field Beans,"Grain and Field Bean MerchantWholesalers"
5154,424520,Livestock,Livestock Merchant Wholesalers
5159,424590,"Farm-product Raw Materials, Nec","Other Farm Product Raw Material MerchantWholesalers"
5162,424610,Plastics Materials and Basic Shapes,"Plastics Materials and Basic Forms andShapes Merchant Wholesalers"
5199,424610,"Nondurable Goods, Nec","Plastics Materials and Basic Forms andShapes Merchant Wholesalers"
5169,424690,"Chemicals and Allied Products, Nec","Other Chemical and Allied ProductsMerchant Wholesalers"
5171,424710,Petroleum Bulk Stations and Terminals,Petroleum Bulk Stations and Terminals
5172,424720,"Petroleum Products, Nec","Petroleum and Petroleum ProductsMerchant Wholesalers (except BulkStations and Terminals)"
5181,424810,Beer and Ale,Beer and Ale Merchant Wholesalers
5182,424820,Wine and Distilled Beverages,"Wine and Distilled Alcoholic BeverageMerchant Wholesalers"
5191,424910,Farm Supplies,Farm Supplies Merchant Wholesalers
5192,424920,"Books, Periodicals, and Newspapers","Book, Periodical, and Newspaper MerchantWholesalers"
5193,424930,Flowers and Florists Supplies,"Flower, Nursery Stock, and Florists'Supplies Merchant Wholesalers"
5194,424940,Tobacco and Tobacco Products,"Tobacco and Tobacco Product MerchantWholesalers"
5199,424990,"Nondurable Goods, Nec","Other Miscellaneous Nondurable GoodsMerchant Wholesalers"
5012,425110,Automobiles and Other Motor Vehicles,Business to Business Electronic Markets
5013,425110,Motor Vehicle Supplies and New Parts,Business to Business Electronic Markets
5014,425110,Tires and Tubes,Business to Business Electronic Markets
5015,425110,"Motor Vehicle Parts, Used",Business to Business Electronic Markets
5021,425110,Furniture,Business to Business Electronic Markets
5023,425110,Homefurnishings,Business to Business Electronic Markets
5031,425110,"Lumber, Plywood, and Millwork",Business to Business Electronic Markets
5032,425110,"Brick, Stone, and Related Material",Business to Business Electronic Markets
5033,425110,"Roofing, Siding, and Insulation",Business to Business Electronic Markets
5039,425110,"Construction Materials, Nec",Business to Business Electronic Markets
5043,425110,Photographic Equipment and Supplies,Business to Business Electronic Markets
5044,425110,Office Equipment,Business to Business Electronic Markets
5045,425110,"Computers, Peripherals, and Software",Business to Business Electronic Markets
5046,425110,"Commercial Equipment, Nec",Business to Business Electronic Markets
5047,425110,Medical and Hospital Equipment,Business to Business Electronic Markets
5048,425110,Ophthalmic Goods,Business to Business Electronic Markets
5049,425110,"Professional Equipment, Nec",Business to Business Electronic Markets
5051,425110,Metals Service Centers and Offices,Business to Business Electronic Markets
5052,425110,Coal and Other Minerals and Ores,Business to Business Electronic Markets
5063,425110,Electrical Apparatus and Equipment,Business to Business Electronic Markets
5064,425110,"Electrical Appliances, Television and Radio",Business to Business Electronic Markets
5065,425110,"Electronic Parts and Equipment, Nec",Business to Business Electronic Markets
5072,425110,Hardware,Business to Business Electronic Markets
5074,425110,Plumbing and Hydronic Heating Supplies,Business to Business Electronic Markets
5075,425110,Warm Air Heating and Air Conditioning,Business to Business Electronic Markets
5078,425110,Refrigeration Equipment and Supplies,Business to Business Electronic Markets
5082,425110,Construction and Mining Machinery,Business to Business Electronic Markets
5083,425110,Farm and Garden Machinery,Business to Business Electronic Markets
5084,425110,Industrial Machinery and Equipment,Business to Business Electronic Markets
5085,425110,Industrial Supplies,Business to Business Electronic Markets
5087,425110,Service Establishment Equipment,Business to Business Electronic Markets
5088,425110,Transportation Equipment and Supplies,Business to Business Electronic Markets
5091,425110,Sporting and Recreation Goods,Business to Business Electronic Markets
5092,425110,Toys and Hobby Goods and Supplies,Business to Business Electronic Markets
5093,425110,Scrap and Waste Materials,Business to Business Electronic Markets
5094,425110,Jewelry and Precious Stones,Business to Business Electronic Markets
5099,425110,"Durable Goods, Nec",Business to Business Electronic Markets
5111,425110,Printing and Writing Paper,Business to Business Electronic Markets
5112,425110,Stationery and Office Supplies,Business to Business Electronic Markets
5113,425110,Industrial and Personal Service Paper,Business to Business Electronic Markets
5122,425110,"Drugs, Proprietaries, and Sundries",Business to Business Electronic Markets
5131,425110,Piece Goods and Notions,Business to Business Electronic Markets
5136,425110,Men's and Boy's Clothing,Business to Business Electronic Markets
5137,425110,Women's and Children's Clothing,Business to Business Electronic Markets
5139,425110,Footwear,Business to Business Electronic Markets
5141,425110,"Groceries, General Line",Business to Business Electronic Markets
5142,425110,Packaged Frozen Goods,Business to Business Electronic Markets
5143,425110,"Dairy Products, Except Dried or Canned",Business to Business Electronic Markets
5145,425110,Confectionery,Business to Business Electronic Markets
5146,425110,Fish and Seafoods,Business to Business Electronic Markets
5147,425110,Meats and Meat Products,Business to Business Electronic Markets
5148,425110,Fresh Fruits and Vegetables,Business to Business Electronic Markets
5149,425110,"Groceries and Related Products, Nec",Business to Business Electronic Markets
5153,425110,Grain and Field Beans,Business to Business Electronic Markets
5154,425110,Livestock,Business to Business Electronic Markets
5159,425110,"Farm-product Raw Materials, Nec",Business to Business Electronic Markets
5162,425110,Plastics Materials and Basic Shapes,Business to Business Electronic Markets
5169,425110,"Chemicals and Allied Products, Nec",Business to Business Electronic Markets
5172,425110,"Petroleum Products, Nec",Business to Business Electronic Markets
5181,425110,Beer and Ale,Business to Business Electronic Markets
5182,425110,Wine and Distilled Beverages,Business to Business Electronic Markets
5191,425110,Farm Supplies,Business to Business Electronic Markets
5192,425110,"Books, Periodicals, and Newspapers",Business to Business Electronic Markets
5193,425110,Flowers and Florists Supplies,Business to Business Electronic Markets
5194,425110,Tobacco and Tobacco Products,Business to Business Electronic Markets
5198,425110,"Paints, Varnishes, and Supplies",Business to Business Electronic Markets
5199,425110,"Nondurable Goods, Nec",Business to Business Electronic Markets
5012,425120,Automobiles and Other Motor Vehicles,Wholesale Trade Agents and Brokers
5013,425120,Motor Vehicle Supplies and New Parts,Wholesale Trade Agents and Brokers
5014,425120,Tires and Tubes,Wholesale Trade Agents and Brokers
5015,425120,"Motor Vehicle Parts, Used",Wholesale Trade Agents and Brokers
5021,425120,Furniture,Wholesale Trade Agents and Brokers
5023,425120,Homefurnishings,Wholesale Trade Agents and Brokers
5031,425120,"Lumber, Plywood, and Millwork",Wholesale Trade Agents and Brokers
5032,425120,"Brick, Stone, and Related Material",Wholesale Trade Agents and Brokers
5033,425120,"Roofing, Siding, and Insulation",Wholesale Trade Agents and Brokers
5039,425120,"Construction Materials, Nec",Wholesale Trade Agents and Brokers
5043,425120,Photographic Equipment and Supplies,Wholesale Trade Agents and Brokers
5044,425120,Office Equipment,Wholesale Trade Agents and Brokers
5045,425120,"Computers, Peripherals, and Software",Wholesale Trade Agents and Brokers
5046,425120,"Commercial Equipment, Nec",Wholesale Trade Agents and Brokers
5047,425120,Medical and Hospital Equipment,Wholesale Trade Agents and Brokers
5048,425120,Ophthalmic Goods,Wholesale Trade Agents and Brokers
5049,425120,"Professional Equipment, Nec",Wholesale Trade Agents and Brokers
5051,425120,Metals Service Centers and Offices,Wholesale Trade Agents and Brokers
5052,425120,Coal and Other Minerals and Ores,Wholesale Trade Agents and Brokers
5063,425120,Electrical Apparatus and Equipment,Wholesale Trade Agents and Brokers
5064,425120,"Electrical Appliances, Television and Radio",Wholesale Trade Agents and Brokers
5065,425120,"Electronic Parts and Equipment, Nec",Wholesale Trade Agents and Brokers
5072,425120,Hardware,Wholesale Trade Agents and Brokers
5074,425120,Plumbing and Hydronic Heating Supplies,Wholesale Trade Agents and Brokers
5075,425120,Warm Air Heating and Air Conditioning,Wholesale Trade Agents and Brokers
5078,425120,Refrigeration Equipment and Supplies,Wholesale Trade Agents and Brokers
5082,425120,Construction and Mining Machinery,Wholesale Trade Agents and Brokers
5083,425120,Farm and Garden Machinery,Wholesale Trade Agents and Brokers
5084,425120,Industrial Machinery and Equipment,Wholesale Trade Agents and Brokers
5085,425120,Industrial Supplies,Wholesale Trade Agents and Brokers
5087,425120,Service Establishment Equipment,Wholesale Trade Agents and Brokers
5091,425120,Sporting and Recreation Goods,Wholesale Trade Agents and Brokers
5092,425120,Toys and Hobby Goods and Supplies,Wholesale Trade Agents and Brokers
5093,425120,Scrap and Waste Materials,Wholesale Trade Agents and Brokers
5094,425120,Jewelry and Precious Stones,Wholesale Trade Agents and Brokers
5099,425120,"Durable Goods, Nec",Wholesale Trade Agents and Brokers
5111,425120,Printing and Writing Paper,Wholesale Trade Agents and Brokers
5112,425120,Stationery and Office Supplies,Wholesale Trade Agents and Brokers
5113,425120,Industrial and Personal Service Paper,Wholesale Trade Agents and Brokers
5122,425120,"Drugs, Proprietaries, and Sundries",Wholesale Trade Agents and Brokers
5131,425120,Piece Goods and Notions,Wholesale Trade Agents and Brokers
5136,425120,Men's and Boy's Clothing,Wholesale Trade Agents and Brokers
5137,425120,Women's and Children's Clothing,Wholesale Trade Agents and Brokers
5139,425120,Footwear,Wholesale Trade Agents and Brokers
5141,425120,"Groceries, General Line",Wholesale Trade Agents and Brokers
5142,425120,Packaged Frozen Goods,Wholesale Trade Agents and Brokers
5143,425120,"Dairy Products, Except Dried or Canned",Wholesale Trade Agents and Brokers
5144,425120,Poultry and Poultry Products,Wholesale Trade Agents and Brokers
5145,425120,Confectionery,Wholesale Trade Agents and Brokers
5146,425120,Fish and Seafoods,Wholesale Trade Agents and Brokers
5147,425120,Meats and Meat Products,Wholesale Trade Agents and Brokers
5148,425120,Fresh Fruits and Vegetables,Wholesale Trade Agents and Brokers
5149,425120,"Groceries and Related Products, Nec",Wholesale Trade Agents and Brokers
5153,425120,Grain and Field Beans,Wholesale Trade Agents and Brokers
5154,425120,Livestock,Wholesale Trade Agents and Brokers
5159,425120,"Farm-product Raw Materials, Nec",Wholesale Trade Agents and Brokers
5162,425120,Plastics Materials and Basic Shapes,Wholesale Trade Agents and Brokers
5169,425120,"Chemicals and Allied Products, Nec",Wholesale Trade Agents and Brokers
5172,425120,"Petroleum Products, Nec",Wholesale Trade Agents and Brokers
5181,425120,Beer and Ale,Wholesale Trade Agents and Brokers
5182,425120,Wine and Distilled Beverages,Wholesale Trade Agents and Brokers
5191,425120,Farm Supplies,Wholesale Trade Agents and Brokers
5192,425120,"Books, Periodicals, and Newspapers",Wholesale Trade Agents and Brokers
5193,425120,Flowers and Florists Supplies,Wholesale Trade Agents and Brokers
5194,425120,Tobacco and Tobacco Products,Wholesale Trade Agents and Brokers
5198,425120,"Paints, Varnishes, and Supplies",Wholesale Trade Agents and Brokers
5199,425120,"Nondurable Goods, Nec",Wholesale Trade Agents and Brokers
7389,425120,"Business Services, Nec",Wholesale Trade Agents and Brokers
5511,441110,New and Used Car Dealers,New Car Dealers
5521,441120,Used Car Dealers,Used Car Dealers
5561,441210,Recreational Vehicle Dealers,Recreational Vehicle Dealers
5551,441222,Boat Dealers,Boat Dealers
5571,441228,Motorcycle Dealers,"Motorcycle, ATV, and All Other MotorVehicle Dealers"
5599,441228,"Automotive Dealers, Nec","Motorcycle, ATV, and All Other MotorVehicle Dealers"
5013,441310,Motor Vehicle Supplies and New Parts,Automotive Parts and Accessories Stores
5015,441310,"Motor Vehicle Parts, Used",Automotive Parts and Accessories Stores
5531,441310,Auto and Home Supply Stores,Automotive Parts and Accessories Stores
5731,441310,"Radio, Television, and Electronic Stores",Automotive Parts and Accessories Stores
5014,441320,Tires and Tubes,Tire Dealers
5531,441320,Auto and Home Supply Stores,Tire Dealers
5712,442110,Furniture Stores,Furniture Stores
5023,442210,Homefurnishings,Floor Covering Stores
5713,442210,Floor Covering Stores,Floor Covering Stores
5714,442291,Drapery and Upholstery Stores,Window Treatment Stores
5719,442291,Miscellaneous Homefurnishings,Window Treatment Stores
5719,442299,Miscellaneous Homefurnishings,All Other Home Furnishings Stores
7699,442299,"Repair Services, Nec",All Other Home Furnishings Stores
5064,443141,"Electrical Appliances, Television and Radio",Household Appliance Stores
5722,443141,Household Appliance Stores,Household Appliance Stores
7623,443141,Refrigeration Service and Repair,Household Appliance Stores
7629,443141,Electrical Repair Shops,Household Appliance Stores
5045,443142,"Computers, Peripherals, and Software",Electronics Stores
5064,443142,"Electrical Appliances, Television and Radio",Electronics Stores
5065,443142,"Electronic Parts and Equipment, Nec",Electronics Stores
5065,443142,"Electronic Parts and Equipment, Nec",Electronics Stores
5099,443142,"Durable Goods, Nec",Electronics Stores
5731,443142,"Radio, Television, and Electronic Stores",Electronics Stores
5734,443142,Computer and Software Stores,Electronics Stores
5735,443142,Record and Prerecorded Tape Stores,Electronics Stores
5946,443142,Camera and Photographic Supply Stores,Electronics Stores
5999,443142,"Miscellaneous Retail Stores, Nec",Electronics Stores
7378,443142,Computer Maintenance and Repair,Electronics Stores
7622,443142,Radio and Television Repair,Electronics Stores
5031,444110,"Lumber, Plywood, and Millwork",Home Centers
5211,444110,Lumber and Other Building Materials,Home Centers
5231,444120,"Paint, Glass, and Wallpaper Stores",Paint and Wallpaper Stores
5072,444130,Hardware,Hardware Stores
5251,444130,Hardware Stores,Hardware Stores
7699,444130,"Repair Services, Nec",Hardware Stores
5032,444190,"Brick, Stone, and Related Material",Other Building Material Dealers
5033,444190,"Roofing, Siding, and Insulation",Other Building Material Dealers
5039,444190,"Construction Materials, Nec",Other Building Material Dealers
5063,444190,Electrical Apparatus and Equipment,Other Building Material Dealers
5064,444190,"Electrical Appliances, Television and Radio",Other Building Material Dealers
5074,444190,Plumbing and Hydronic Heating Supplies,Other Building Material Dealers
5099,444190,"Durable Goods, Nec",Other Building Material Dealers
5211,444190,Lumber and Other Building Materials,Other Building Material Dealers
5231,444190,"Paint, Glass, and Wallpaper Stores",Other Building Material Dealers
5083,444210,Farm and Garden Machinery,Outdoor Power Equipment Stores
5261,444210,Retail Nurseries and Garden Stores,Outdoor Power Equipment Stores
7699,444210,"Repair Services, Nec",Outdoor Power Equipment Stores
5153,444220,Grain and Field Beans,"Nursery, Garden Center, and Farm SupplyStores"
5159,444220,"Farm-product Raw Materials, Nec","Nursery, Garden Center, and Farm SupplyStores"
5191,444220,Farm Supplies,"Nursery, Garden Center, and Farm SupplyStores"
5261,444220,Retail Nurseries and Garden Stores,"Nursery, Garden Center, and Farm SupplyStores"
5141,445110,"Groceries, General Line","Supermarkets and Other Grocery (exceptConvenience) Stores"
5411,445110,Grocery Stores,"Supermarkets and Other Grocery (exceptConvenience) Stores"
5411,445120,Grocery Stores,Convenience Stores
5144,445210,Poultry and Poultry Products,Meat Markets
5147,445210,Meats and Meat Products,Meat Markets
5421,445210,Meat and Fish Markets,Meat Markets
5499,445210,Miscellaneous Food Stores,Meat Markets
5146,445220,Fish and Seafoods,Fish and Seafood Markets
5421,445220,Meat and Fish Markets,Fish and Seafood Markets
5148,445230,Fresh Fruits and Vegetables,Fruit and Vegetable Markets
5431,445230,Fruit and Vegetable Markets,Fruit and Vegetable Markets
5461,445291,Retail Bakeries,Baked Goods Stores
5145,445292,Confectionery,Confectionery and Nut Stores
5441,445292,"Candy, Nut, and Confectionery Stores",Confectionery and Nut Stores
5143,445299,"Dairy Products, Except Dried or Canned",All Other Specialty Food Stores
5149,445299,"Groceries and Related Products, Nec",All Other Specialty Food Stores
5451,445299,Dairy Products Stores,All Other Specialty Food Stores
5499,445299,Miscellaneous Food Stores,All Other Specialty Food Stores
5181,445310,Beer and Ale,"Beer, Wine, and Liquor Stores"
5182,445310,Wine and Distilled Beverages,"Beer, Wine, and Liquor Stores"
5921,445310,Liquor Stores,"Beer, Wine, and Liquor Stores"
5122,446110,"Drugs, Proprietaries, and Sundries",Pharmacies and Drug Stores
5912,446110,Drug Stores and Proprietary Stores,Pharmacies and Drug Stores
5087,446120,Service Establishment Equipment,"Cosmetics, Beauty Supplies, and PerfumeStores"
5122,446120,"Drugs, Proprietaries, and Sundries","Cosmetics, Beauty Supplies, and PerfumeStores"
5999,446120,"Miscellaneous Retail Stores, Nec","Cosmetics, Beauty Supplies, and PerfumeStores"
5995,446130,Optical Goods Stores,Optical Goods Stores
5122,446191,"Drugs, Proprietaries, and Sundries",Food (Health) Supplement Stores
5499,446191,Miscellaneous Food Stores,Food (Health) Supplement Stores
5047,446199,Medical and Hospital Equipment,All Other Health and Personal Care Stores
5999,446199,"Miscellaneous Retail Stores, Nec",All Other Health and Personal Care Stores
5411,447110,Grocery Stores,Gasoline Stations with Convenience Stores
5541,447110,Gasoline Service Stations,Gasoline Stations with Convenience Stores
5541,447190,Gasoline Service Stations,Other Gasoline Stations
5136,448110,Men's and Boy's Clothing,Men's Clothing Stores
5611,448110,Men's and Boys' Clothing Stores,Men's Clothing Stores
5137,448120,Women's and Children's Clothing,Women's Clothing Stores
5621,448120,Women's Clothing Stores,Women's Clothing Stores
5137,448130,Women's and Children's Clothing,Children's and Infants' Clothing Stores
5641,448130,Children's and Infants' Wear Stores,Children's and Infants' Clothing Stores
5651,448140,Family Clothing Stores,Family Clothing Stores
5611,448150,Men's and Boys' Clothing Stores,Clothing Accessories Stores
5699,448150,Miscellaneous Apparel and Accessories,Clothing Accessories Stores
5136,448190,Men's and Boy's Clothing,Other Clothing Stores
5137,448190,Women's and Children's Clothing,Other Clothing Stores
5621,448190,Women's Clothing Stores,Other Clothing Stores
5632,448190,Women's Accessory and Specialty Stores,Other Clothing Stores
5699,448190,Miscellaneous Apparel and Accessories,Other Clothing Stores
5139,448210,Footwear,Shoe Stores
5661,448210,Shoe Stores,Shoe Stores
5094,448310,Jewelry and Precious Stones,Jewelry Stores
5944,448310,Jewelry Stores,Jewelry Stores
7631,448310,"Watch, Clock, and Jewelry Repair",Jewelry Stores
5948,448320,Luggage and Leather Goods Stores,Luggage and Leather Goods Stores
5091,451110,Sporting and Recreation Goods,Sporting Goods Stores
5099,451110,"Durable Goods, Nec",Sporting Goods Stores
5941,451110,Sporting Goods and Bicycle Shops,Sporting Goods Stores
7699,451110,"Repair Services, Nec",Sporting Goods Stores
5092,451120,Toys and Hobby Goods and Supplies,"Hobby, Toy, and Game Stores"
5099,451120,"Durable Goods, Nec","Hobby, Toy, and Game Stores"
5945,451120,"Hobby, Toy, and Game Shops","Hobby, Toy, and Game Stores"
5131,451130,Piece Goods and Notions,"Sewing, Needlework, and Piece GoodsStores"
5714,451130,Drapery and Upholstery Stores,"Sewing, Needlework, and Piece GoodsStores"
5949,451130,"Sewing, Needlework, and Piece Goods","Sewing, Needlework, and Piece GoodsStores"
5736,451140,Musical Instrument Stores,Musical Instrument and Supplies Stores
5192,451211,"Books, Periodicals, and Newspapers",Book Stores
5942,451211,Book Stores,Book Stores
5994,451212,News Dealers and Newsstands,News Dealers and Newsstands
5311,452210,Department Stores,Department Stores
5399,452210,Miscellaneous General Merchandise,Department Stores
5411,452210,Grocery Stores,Department Stores
5311,452311,Department Stores,Warehouse Clubs and Supercenters
5399,452311,Miscellaneous General Merchandise,Warehouse Clubs and Supercenters
5411,452311,Grocery Stores,Warehouse Clubs and Supercenters
5331,452319,Variety Stores,All Other General Merchandise Stores
5399,452319,Miscellaneous General Merchandise,All Other General Merchandise Stores
5531,452319,Auto and Home Supply Stores,All Other General Merchandise Stores
5992,453110,Florists,Florists
5044,453210,Office Equipment,Office Supplies and Stationery Stores
5049,453210,"Professional Equipment, Nec",Office Supplies and Stationery Stores
5111,453210,Printing and Writing Paper,Office Supplies and Stationery Stores
5112,453210,Stationery and Office Supplies,Office Supplies and Stationery Stores
5943,453210,Stationery Stores,Office Supplies and Stationery Stores
5199,453220,"Nondurable Goods, Nec","Gift, Novelty, and Souvenir Stores"
5947,453220,"Gift, Novelty, and Souvenir Shop","Gift, Novelty, and Souvenir Stores"
5932,453310,Used Merchandise Stores,Used Merchandise Stores
5149,453910,"Groceries and Related Products, Nec",Pet and Pet Supplies Stores
5199,453910,"Nondurable Goods, Nec",Pet and Pet Supplies Stores
5999,453910,"Miscellaneous Retail Stores, Nec",Pet and Pet Supplies Stores
5999,453920,"Miscellaneous Retail Stores, Nec",Art Dealers
5194,453991,Tobacco and Tobacco Products,Tobacco Stores
5199,453991,"Nondurable Goods, Nec",Tobacco Stores
5993,453991,Tobacco Stores and Stands,Tobacco Stores
5085,453998,Industrial Supplies,"All Other Miscellaneous Store Retailers(except Tobacco Stores)"
5113,453998,Industrial and Personal Service Paper,"All Other Miscellaneous Store Retailers(except Tobacco Stores)"
5162,453998,Plastics Materials and Basic Shapes,"All Other Miscellaneous Store Retailers(except Tobacco Stores)"
5999,453998,"Miscellaneous Retail Stores, Nec","All Other Miscellaneous Store Retailers(except Tobacco Stores)"
5961,454110,Catalog and Mail-order Houses,"Electronic Shopping and Mail-OrderHouses"
5962,454210,Merchandising Machine Operators,Vending Machine Operators
5171,454310,Petroleum Bulk Stations and Terminals,Fuel Dealers
5171,454310,Petroleum Bulk Stations and Terminals,Fuel Dealers
5983,454310,Fuel Oil Dealers,Fuel Dealers
5984,454310,Liquefied Petroleum Gas Dealers,Fuel Dealers
5989,454310,"Fuel Dealers, Nec",Fuel Dealers
5142,454390,Packaged Frozen Goods,Other Direct Selling Establishments
5411,454390,Grocery Stores,Other Direct Selling Establishments
5421,454390,Meat and Fish Markets,Other Direct Selling Establishments
5431,454390,Fruit and Vegetable Markets,Other Direct Selling Establishments
5963,454390,Direct Selling Establishments,Other Direct Selling Establishments
4512,481111,"Air Transportation, Scheduled",Scheduled Passenger Air Transportation
4512,481112,"Air Transportation, Scheduled",Scheduled Freight Air Transportation
4522,481211,"Air Transportation, Nonscheduled","Nonscheduled Chartered Passenger AirTransportation"
4522,481212,"Air Transportation, Nonscheduled","Nonscheduled Chartered Freight AirTransportation"
4522,481219,"Air Transportation, Nonscheduled",Other Nonscheduled Air Transportation
7319,481219,"Advertising, Nec",Other Nonscheduled Air Transportation
7335,481219,Commercial Photography,Other Nonscheduled Air Transportation
7997,481219,Membership Sports and Recreation Clubs,Other Nonscheduled Air Transportation
4011,482111,"Railroads, Line-haul Operating",Line-Haul Railroads
4013,482112,Switching and Terminal Services,Short Line Railroads
4412,483111,"Deep Sea Foreign Transportation ofFreight",Deep Sea Freight Transportation
4481,483112,"Deep Sea Passenger Transportation,Except Ferry",Deep Sea Passenger Transportation
4424,483113,"Deep Sea Domestic Transportation ofFreight","Coastal and Great Lakes FreightTransportation"
4432,483113,"Freight Transportation On The GreatLakes","Coastal and Great Lakes FreightTransportation"
4481,483114,"Deep Sea Passenger Transportation,Except Ferry","Coastal and Great Lakes PassengerTransportation"
4482,483114,Ferries,"Coastal and Great Lakes PassengerTransportation"
4449,483211,Water Transportation of Freight,Inland Water Freight Transportation
4499,483211,"Water Transportation Services, Nec",Inland Water Freight Transportation
4482,483212,Ferries,Inland Water Passenger Transportation
4212,484110,"Local Trucking, Without Storage","General Freight Trucking, Local"
4214,484110,Local Trucking With Storage,"General Freight Trucking, Local"
4213,484121,"Trucking, Except Local","General Freight Trucking, Long-Distance,Truckload"
4213,484122,"Trucking, Except Local","General Freight Trucking, Long-Distance,Less Than Truckload"
4212,484210,"Local Trucking, Without Storage",Used Household and Office Goods Moving
4213,484210,"Trucking, Except Local",Used Household and Office Goods Moving
4214,484210,Local Trucking With Storage,Used Household and Office Goods Moving
4212,484220,"Local Trucking, Without Storage","Specialized Freight (except Used Goods)Trucking, Local"
4214,484220,Local Trucking With Storage,"Specialized Freight (except Used Goods)Trucking, Local"
4213,484230,"Trucking, Except Local","Specialized Freight (except Used Goods)Trucking, Long-Distance"
